 PASSENGERS , FREIGHT , MAIL , Passenger Miles ,CARRIER_NAME
" 4,060 ", -   , -   ," 892,886 ",Menagerie Enterprises Inc d/b/a Monarch Air Total
" 3,778 ", -   , -   ," 5,179,638 ",Bradley Air Services Ltd. Total
" 3,763 "," 291,714 "," 15,521 "," 2,004,234 ",Alaska Central Express Total
" 3,339 ", -   , -   ," 10,972,557 ",Titan Airways Total
" 3,013 "," 370,301 "," 127,590 "," 524,307 ",Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo Total
" 2,451 ", -   , -   ," 2,352,801 ",Chartright Air Inc. Total
" 2,214 ", -   , -   ," 1,871,902 ",London Air Services Limited Total
" 1,840 "," 203,104 ", -   ," 1,086,045 ",Nolinor Aviation Total
" 1,740 "," 3,628 ", -   ," 310,882 ",Arctic Transportation Total
" 1,730 ", -   , -   ," 8,272,609 ",VistaJet Limited Total
" 1,724 ", -   , -   ," 85,676 ",West Isle Air Total
" 1,647 ", -   , -   ," 97,173 ",Grand Canyon Helicopters Total
" 1,342 ", -   , -   ," 4,447,634 ",Jet2.com Total
" 1,084 "," 13,118 "," 141,768 "," 65,997 ",Tanana Air Service Total
 880 , -   , -   ," 1,723,040 ",Air Company Yakutia Total
 860 , -   , -   ," 1,377,373 ",Flair Airlines Ltd. Total
 723 ," 103,300 "," 15,968 "," 93,659 ",40-Mile Air Total
 572 , -   , -   ," 1,490,694 ",TAG Aviation (UK) Ltd. Total
 457 ," 24,895 ", -   ," 59,446 ","Reeve Air Alaska, LLC Total"
 420 , -   , -   ," 1,429,583 ",Gainjet Aviation SA Total
 239 , -   , -   ," 49,224 ",Pacific Wings Airlines Total
 231 , -   , -   ," 974,766 ",Air Alsie A/S Total
 220 , -   , -   ," 960,139 ",CAT Aviation Total
 218 , -   , -   ," 1,046,165 ",Blue Jet SP Z o o Total
 215 , -   , -   ," 922,472 ","Global Jet Luxembourg, Sa Total"
 208 , -   , -   ," 742,005 ",TAG Aviation Espana S.L. Total
 169 , -   , -   ," 543,404 ",Acropolis Aviation Ltd. Total
 153 , -   , -   ," 622,552 ",Unijet Total
 141 , -   , -   ," 45,200 ",Propair Total
 138 ," 8,599 "," 36,584 "," 11,071 ",Erickson Helicopters Total
 130 , -   , -   ," 663,022 ",Comlux Aruba NV Total
 114 , 758 ," 29,078 "," 12,547 ",Ellis Air Taxi Inc. Total
 105 , -   , -   ," 444,573 ",Albinati Aeronautics SA Total
 95 , -   , -   ," 407,465 ",ACM AIR CHARTER GmbH Total
 88 , -   , -   ," 274,018 ","Comlux Malta, Ltd. Total"
 87 , -   , -   ," 387,156 ",DCA Total
 84 , -   , -   ," 407,407 ",G5 Executive Ag Total
 75 ," 6,930 ", -   ," 172,245 ",ABS JETS A.S Total
 67 , -   , -   ," 310,341 ",VistaJet Luftfahrtunternehmen GmbH Total
 51 , 361 ," 1,400 "," 1,404 ",Ward Air Total
 48 , -   , -   ," 192,666 ",Dassault Falcon Service Total
 48 , -   , -   ," 232,833 ",Tyrolean Jet Service Total
 39 , -   , -   ," 158,780 ",International Jet Management GmbH Total
 38 , -   , -   ," 180,012 ",Amira Air GmbH Total
 35 , -   , -   ," 186,375 ",Swiss Air Ambulance Total
 25 , -   , -   ," 102,446 ",TAG Aviation S.A. Total
 24 , -   , -   ," 125,922 ",Mjet GmbH Total
 19 , -   , -   ," 80,639 ",Albinati aviation Limited Total
 11 , -   , -   ," 34,239 ",JetClub AG Total
 10 , -   , -   ," 46,664 ","Global Jet Austria, GmbH Total"
 4 , -   , -   ," 16,148 ",Bertelsmann Aviation GmbH Total
